Player,Country
Aakash Chopra,India
Aaron Finch,Australia
Aavishkar Salvi,India
AB de Villiers,South Africa
Abdul Samad,India
Abdulahad Malek,India
Abdur Razzak,Bangladesh
Abhimanyu Mithun,India
Abhinav Kumar,India
Abhinav Mukund,India
Abhishek Jhunjhunwala,India
Abhishek Nayar,India
Abhishek Raut,India
Abhishek Sharma,India
Abrar Kazi,India
Abu Nechim Ahmed,India
Adam Gilchrist,Australia
Adam Milne,New Zealand
Adam Voges,Australia
Adam Zampa,Australia
Aditya Angle,India
Aditya Dole,India
Aditya Garhwal,India
Aditya Tare,India
Adrian Barath,Trinidad and Tobago
Agnivesh Ayachi,India
Aiden Blizzard,Australia
Ajantha Mendis,Sri Lanka
Ajinkya Rahane,India
Ajit Agarkar,India
Ajit Chandila,India
Ajitesh Argal,India
Akash Bhandari,India
Akash Singh,India
Akhil Herwadkar,India
Akila Dananjaya,Sri Lanka
Akshath Reddy,India
Akshay Karnewar,India
Akshay Wakhare,India
Akshdeep Nath,India
Albie Morkel,South Africa
Alex Carey,Australia
Alex Hales,England
Alfonso Thomas,South Africa
Ali Khan,United States of America
Ali Murtaza,India
Alzarri Joseph,West Indies
Amanpreet Singh,India
Ambati Rayudu,India
Amit Mishra,India
Amit Mishra,India
Amit Paunikar,India
Amit Singh,India
Amit Uniyal,India
Amit Yadav,India
Amitoze Singh,India
Anand Rajan,India
André Nel,South Africa
Andre Russell,Jamaica
Andrew Flintoff,England
Andrew McDonald,Australia
Andrew Symonds,Australia
Andrew Tye,Australia
Angelo Mathews,Sri Lanka
Aniket Choudhary,India
Anil Kumble,India
Aniruddha Joshi,India
Anirudh Singh,India
Anirudha Srikkanth,India
Ankeet Chavan,India
Ankit Bawne,India
Ankit Rajpoot,India
Ankit Sharma,India
Ankit Soni,India
Ankush Bains,India
Anmolpreet Singh,India
Anrich Nortje,South Africa
Anuj Rawat,India
Anukul Roy,India
Anup Revandkar,India
Anureet Singh,India
Anustup Majumdar,India
Apoorv Wankhade,India
Arindam Ghosh,India
Arisht Singhvi,India
Arjun Yadav,India
Armaan Jaffer,India
Arshdeep Singh,India
Aryaman Birla,India
Asad Pathan,India
Asela Gunaratne,Sri Lanka
Ashish Nehra,India
Ashish Reddy,India
Ashley Noffke,Australia
Ashok Dinda,India
Ashok Menaria,India
Ashraf Makda,India
Ashton Turner,Australia
Ashwell Prince,South Africa
Atul Sharma,India
Avesh Khan,India
Axar Patel,India
Azhar Bilakhia,India
Azhar Mehmood,England
Baba Aparajith,India
Balachandra Akhil,India
Bandaru Ayyappa,India
Barinder Sran,India
Basil Thampi,India
Bavanaka Sandeep,India
Ben Cutting,Australia
Ben Dunk,Australia
Ben Dwarshuis,Australia
Ben Hilfenhaus,Australia
Ben Laughlin,Australia
Ben Rohrer,Australia
Ben Stokes,England
Beuran Hendricks,South Africa
Bharat Chipli,India
Bhargav Bhatt,India
Bhuvneshwar Kumar,India
Billy Stanlake,Australia
Biplab Samantray,India
Bipul Sharma,India
BN Bharath,India
Bodapati Sumanth,India
Brad Haddin,Australia
Brad Hodge,Australia
Brad Hogg,Australia
Brendan Taylor,Zimbabwe
Brendon McCullum,New Zealand
Brett Geeves,Australia
Brett Lee,Australia
Burt Cockley,Australia
Callum Ferguson,Australia
Cameron Delport,South Africa
Cameron White,Australia
Carlos Brathwaite,Barbados
Chaitanya Bishnoi,India
Chama Milind,India
Chamara Kapugedera,Sri Lanka
Chamara Silva,Sri Lanka
Chaminda Vaas,Sri Lanka
Chandan Madan,India
Chandrasekar Ganapathy,India
Charl Langeveldt,South Africa
Chentanya Nanda,India
Cheteshwar Pujara,India
Chirag Jani,India
Chirag Pathak,India
Chirag Suri,United Arab Emirates
Chris Barnwell,Guyana
Chris Gayle,Jamaica
Chris Green,Australia
Chris Jordan,England
Chris Lynn,Australia
Chris Morris,South Africa
Chris Woakes,England
Clint McKay,Australia
CM Gautam,India
Colin de Grandhomme,New Zealand
Colin Ingram,South Africa
Colin Munro,New Zealand
Corey Anderson,New Zealand
Dale Steyn,South Africa
Damien Martyn,Australia
Daniel Christian,Australia
Daniel Harris,Australia
Daniel Sams,Australia
Daniel Vettori,New Zealand
D'Arcy Short,Australia
Darren Bravo,Trinidad and Tobago
Darren Lehmann,Australia
Darren Sammy,Saint Lucia
Darshan Nalkande,India
David Hussey,Australia
David Miller,South Africa
David Warner,Australia
David Wiese,South Africa
David Willey,England
Davy Jacobs,South Africa
Debabrata Das,India
Deepak Chahar,India
Deepak Chougule,India
Deepak Hooda,India
Deepak Punia,India
Devdutt Padikkal,India
Devraj Patil,India
Dhawal Kulkarni,India
Dheeraj Jadhav,India
Dhruv Shorey,India
Digvijay Deshmukh,India
Dilhara Fernando,Sri Lanka
Dillon du Preez,South Africa
Dimitri Mascarenhas,England
Dinesh Chandimal,Sri Lanka
Dinesh Karthik,India
Dinesh Salunkhe,India
Dirk Nannes,Australia
Dishant Yagnik,India
Doddapaneni Kalyankrishna,India
Dominic Thornley,Australia
Domnic Muthuswami,India
Doug Bollinger,Australia
Doug Bracewell,New Zealand
Dushmantha Chameera,Sri Lanka
Dwaraka Ravi Teja,India
Dwayne Bravo,Trinidad and Tobago
Dwayne Smith,Barbados
Eklak Ahmid,India
Eklavya Dwivedi,India
Eoin Morgan,England
Evin Lewis,Trinidad and Tobago
Fabian Allen,West Indies
Faiz Fazal,India
Farhaan Behardien,South Africa
Farveez Maharoof,Sri Lanka
Fidel Edwards,Barbados
Francois du Plessis,South Africa
Gagandeep Singh,India
Gajendra Singh,India
Ganapathi Vignesh,India
Ganesh Gaikwad,India
Gaurav Dhiman,India
Gautam Gambhir,India
George Bailey,Australia
Glenn Maxwell,Australia
Glenn McGrath,Australia
Gnaneswara Rao,India
Graeme Smith,South Africa
Graham Napier,England
Gulam Bodi,South Africa
Gurinder Sandhu,Australia
Gurkeerat Singh,India
Halhadar Das,India
Hanuma Vihari,India
Harbhajan Singh,India
Hardik Pandya,India
Hardus Viljoen,South Africa
Harmeet Singh,India
Harpreet Brar,India
Harpreet Singh,India
Harry Gurney,England
Harshad Khadiwale,India
Harshal Patel,India
Hashim Amla,South Africa
Heinrich Klaasen,South Africa
Hemang Badani,India
Herschelle Gibbs,South Africa
Himmat Singh,India
HS Sharath,India
Imran Tahir,South Africa
Imtiaz Ahmed,India
Iqbal Abdulla,India
Iresh Saxena,India
Irfan Pathan,India
Ish Sodhi,New Zealand
Ishan Kishan,India
Ishan Malhotra,India
Ishan Porel,India
Ishank Jaggi,India
Ishant Sharma,India
Ishwar Pandey,India
Isuru Udana,Sri Lanka
Jacob Oram,New Zealand
Jacques Kallis,South Africa
Jagadeesh Arunkumar,India
Jagadeesha Suchith,India
Jalaj Saxena,India
James Faulkner,Australia
James Franklin,New Zealand
James Hopes,Australia
James Pattinson,Australia
Jaskaran Singh,India
Jason Behrendorff,Australia
Jason Holder,Barbados
Jason Roy,England
Jasprit Bumrah,India
Jatin Saxena,India
Javed Khan,India
Javon Searles,Barbados
Jayant Yadav,India
Jaydev Shah,India
Jaydev Unadkat,India
Jeevan Mendis,Sri Lanka
Jerome Taylor,Jamaica
Jesse Ryder,New Zealand
Jimmy Neesham,New Zealand
Jitendra Patil,India
Jitesh Sharma,India
Joe Denly,England
Joel Paris,Australia
Jofra Archer,England
Joginder Sharma,India
Joginder Singh,India
Johan Botha,South Africa
Johan van der Wath,South Africa
John Hastings,Australia
Jonathan Vandiar,South Africa
Jonny Bairstow,England
Jos Buttler,England
Josh Hazlewood,Australia
Josh Philippe,Australia
JP Duminy,South Africa
Junior Dala,South Africa
Justin Kemp,South Africa
Justin Langer,Australia
Kagiso Rabada,South Africa
Kamlesh Nagarkoti,India
Kamran Akmal,Pakistan
Kamran Khan,India
Kane Richardson,Australia
Kane Williamson,New Zealand
Kanishk Seth,India
Karan Goel,India
Karanveer Singh,India
Karn Sharma,India
Kartik Tyagi,India
Karun Nair,India
KB Arun Karthik,India
KC Cariappa,India
Kedar Devdhar,India
Kedar Jadhav,India
Keemo Paul,West Indies
Kemar Roach,Barbados
Kevin Pietersen,England
Kevon Cooper,Trinidad and Tobago
Khaleel Ahmed,India
Kieron Pollard,Trinidad and Tobago
Kishore Kamath,India
KK Jiyas,India
KL Rahul,India
KM Asif,India
KP Appanna,India
Krishmar Santokie,Jamaica
Krishnakant Upadhyay,India
Krishnappa Gowtham,India
Krunal Pandya,India
Kshitiz Sharma,India
Kuldeep Raval,India
Kuldeep Yadav,India
Kulwant Khejroliya,India
Kumar Boresa,India
Kumar Sangakkara,Sri Lanka
Kusal Perera,Sri Lanka
Kuthethurshri Vasudevadas,India
Kyle Abbott,South Africa
Kyle Mills,New Zealand
Lakshmipathy Balaji,India
Lalit Yadav,India
Lasith Malinga,Sri Lanka
Laxmi Ratan Shukla,India
Lee Carseldine,Australia
Lendl Simmons,Trinidad and Tobago
Liam Livingstone,England
Liam Plunkett,England
Lockie Ferguson,New Zealand
Loots Bosman,South Africa
Love Ablish,India
Luke Pomersbach,Australia
Luke Ronchi,New Zealand
Luke Wright,England
Lungi Ngidi,South Africa
M. D. Nidheesh,India
Mahela Jayawardene,Sri Lanka
Mahendra Singh Dhoni,India
Mahesh Rawat,India
Mahipal Lomror,India
Makhaya Ntini,South Africa
Manan Sharma,India
Manan Vohra,India
Mandeep Singh,India
Manimaran Siddharth,India
Manish Pandey,India
Manjot Kalra,India
Manoj Tiwary,India
Manpreet Gony,India
Manpreet Juneja,India
Manvinder Bisla,India
Manzoor Dar,India
Marchant de Lange,South Africa
Marcus Stoinis,Australia
Mark Boucher,South Africa
Mark Wood,England
Marlon Samuels,Jamaica
Martin Guptill,New Zealand
Mashrafe Mortaza,Bangladesh
Matt Henry,New Zealand
Matthew Hayden,Australia
Matthew Kelly,Australia
Matthew Wade,Australia
Mayank Agarwal,India
Mayank Dagar,India
Mayank Markande,India
Mayank Tehlan,India
Mehdi Hasan,India
Michael Clarke,Australia
Michael Klinger,Australia
Michael Lumb,England
Michael Neser,Australia
Mike Hussey,Australia
Milind Kumar,India
Milind Tandon,India
Misbah-ul-Haq,Pakistan
Mitchell Johnson,Australia
Mitchell Marsh,Australia
Mitchell McClenaghan,New Zealand
Mitchell Santner,New Zealand
Mitchell Starc,Australia
Mithun Manhas,India
Moeen Ali,England
Mohammad Ashraful,Bangladesh
Mohammad Asif,Pakistan
Mohammad Hafeez,Pakistan
Mohammad Kaif,India
Mohammad Nabi,Afghanistan
Mohammed Arif,India
Mohammed Shami,India
Mohammed Siraj,India
Mohit Sharma,India
Mohnish Mishra,India
Mohsin Khan,India
Moises Henriques,Australia
Monu Kumar,India
Morne Morkel,South Africa
Morné van Wyk,South Africa
Mujeeb Ur Rahman,Afghanistan
Munaf Patel,India
Murali Kartik,India
Murali Vijay,India
Murugan Ashwin,India
Musavir Khote,India
Mustafizur Rahman,Bangladesh
Muttiah Muralitharan,Sri Lanka
Naman Ojha,India
Napoleon Einstein,India
Nathan Bracken,Australia
Nathan Coulter-Nile,Australia
Nathan McCullum,India
Nathan Rimmington,Australia
Nathu Singh,India
Navdeep Saini,India
Nayan Doshi,India
Nayaran Jagadeesan,India
Neravanda Aiyappa,India
Nic Maddinson,Australia
Nicholas Pooran,Trinidad and Tobago
Nikhil Naik,India
Niraj Patel,India
Nitin Saini,India
Nitish Rana,India
Nuwan Kulasekara,Sri Lanka
Nuwan Pradeep,Sri Lanka
Nuwan Zoysa,Sri Lanka
Oshane Thomas,West Indies
Owais Shah,England
Padmanabhan Prasanth,India
Paidikalva Vijaykumar,India
Palani Amarnath,India
Pankaj Dharmani,India
Pankaj Jaiswal,India
Pankaj Singh,India
Parag More,India
Paras Dogra,India
Pardeep Sahu,India
Parthiv Patel,India
Parvez Rasool,India
Parvinder Awana,India
Pat Cummins,Australia
Paul Collingwood,England
Paul Valthaty,India
Pavan Deshpande,India
Pawan Negi,India
Pawan Suyal,India
Peter Handscomb,Australia
Phillip Hughes,Australia
Pinal Shah,India
Piyush Chawla,India
PM Sarvesh Kumar,India
Prabhsimran Singh,India
Pradeep Sangwan,India
Pragyan Ojha,India
Prasanth Parameswaran,India
Prashant Chopra,India
Prashant Naik,India
Prasidh Krishna,India
Pratham Singh,India
Pratyush Singh,India
Praveen Dubey,India
Praveen Kumar,india
Pravin Tambe,India
Prayas Ray Barman,India
Prince Balwant Rai Singh,India
Prithvi Raj,India
Prithvi Shaw,India
Priyam Garg,India
Puneet Bisht,India
Pushkaraj Chavan,India
Quinton de Kock,South Africa
R. Karthikeyan,India
R. P. Singh,India
Rahil Shaikh,India
Rahul Chahar,India
Rahul Dravid,India
Rahul Sharma,India
Rahul Shukla,India
Rahul Tewatia,India
Rahul Tripathi,India
Raiphi Gomez,India
Rajagopal Sathish,India
Rajat Bhatia,India
Rajesh Bishnoi,India
Rajesh Pawar,India
Raju Bhatkal,India
Ramesh Powar,India
Ramnaresh Sarwan,Guyana
Ranadeb Bose,India
Rangaraj Suthesh,India
Rashid Khan,Afghanistan
Rasikh Salam Dar,India
Ravi Bishnoi,India
Ravi Bopara,England
Ravi Rampaul,Trinidad and Tobago
Ravichandran Ashwin,India
Ravikant Shukla,India
Ravindra Jadeja,India
Ravisrinivasan Sai Kishore,India
Ray Price,Zimbabwe
Reetinder Singh Sodhi,India
Richard Levi,South Africa
Ricky Bhui,India
Ricky Ponting,Australia
Rilee Rossouw,South Africa
Rinku Singh,India
Rishabh Pant,India
Rishi Dhawan,India
Riyan Parag,India
RK Sabharwal,India
Rob Quiney,Australia
Robbie Frylinck,South Africa
Robin BistX,India
Robin Peterson,South Africa
Robin Uthappa,India
Roelof van der Merwe,South Africa
Rohan Banerjee,India
Rohan Gavaskar,India
Rohan Raje,India
Rohit Sharma,India
Ronit More,India
Ross Taylor,New Zealand
Rovman Powell,Jamaica
Royston Dias,India
Rusty Theron,South Africa
Ruturaj Gaikwad,India
Ryan Harris,Australia
Ryan McLaren,South Africa
Ryan Ninan,India
Ryan ten Doeschate,Netherlands
S. Thiagarajan,India
Sachin Baby,India
Sachin Rana,India
Sachin Tendulkar,India
Sachithra Senanayake,Sri Lanka
Sagar Trivedi,India
Sahil Kukreja,India
Salman Butt,Pakistan
Sam Billings,England
Sam Curran,England
Samad Fallah,India
Samuel Badree,Trinidad and Tobago
Sanath Jayasuriya,Sri Lanka
Sandeep Lamichhane,Nepal
Sandeep Sharma,India
Sandeep Warrier,India
Sanjay Bangar,India
Sanjay Yadav,India
Sanju Samson,India
Santosh Yadav,India
Sarabjit Ladda,India
Sarandeep Singh,India
Sarfaraz Khan,India
Sarul Kanwar,India
Saurabh Bandekar,India
Saurabh Kumar,India
Saurabh Tiwary,India
Saurasish Lahiri,India
Sayan Ghosh,India
Sayan Mondal,India
Scott Boland,Australia
Scott Kuggeleijn,New Zealand
Scott Styris,New Zealand
Sean Abbott,Australia
Selvam Suresh Kumar,India
Shadab Jakati,India
Shahbaz Ahmed,India
Shahbaz Nadeem,India
Shahid Afridi,Pakistan
Shakib Al Hasan,Bangladesh
Shalabh Srivastava,India
Shane Bond,New Zealand
Shane Warne,Australia
Shane Watson,Australia
Sharad Lumba,India
Shardul Thakur,India
Shashank Singh,India
Shashi Ranjan,India
Shaun Marsh,Australia
Shaun Pollock,South Africa
Shaun Tait,Australia
Sheldon Cottrell,West Indies
Sheldon Jackson,India
Shelley Shaurya,India
Sherfane Rutherford,West Indies
Shikhar Dhawan,India
Shimron Hetmyer,West Indies
Shishir Bhavane,India
Shivam Dube,India
Shivam Mavi,India
Shivam Sharma,India
Shivil Kaushik,India
Shivnarine Chanderpaul,Guyana
Shoaib Ahmed,India
Shoaib Akhtar,Pakistan
Shoaib Malik,Pakistan
Shoaib Shaikh,India
Shreevats Goswami,India
Shreyas Gopal,India
Shreyas Iyer,India
Shrideep Mangela,India
Shrikant Mundhe,India
Shrikant Wagh,India
Shubham Agarwal,India
Shubham Ranjane,India
Shubman Gill,India
Siddarth Kaul,India
Siddharth Chitnis,India
Siddharth Trivedi,India
Siddhesh Lad,India
Simon Katich,Australia
Sneha Kishore,India
Sohail Tanvir,Pakistan
Sourav Ganguly,India
Sreenath Aravind,India
Sreesanth,India
Sridharan Sriram,India
Srikar Bharat,India
Stephen Fleming,New Zealand
Steve O'Keefe,Australia
Steve Smith,Australia
Stuart Binny,India
Stuart Broad,England
Subramaniam Badrinath,India
Sudeep Tyagi,India
Sudhesan Midhun,India
Sujit Nayak,India
Sumit Khatri,India
Sumit Narwal,India
Sunil Joshi,India
Sunil Narine,Trinidad and Tobago
Sunny Gupta,India
Sunny Singh,India
Sunny Sohal,India
Suraj Randiv,Sri Lanka
Suresh Raina,India
Suryakumar Yadav,India
Sushant Marathe,India
Swapnil Asnodkar,India
Swapnil Singh,India
Syed Mohammed,India
Syed Quadri,India
Syed Shahabuddin,India
T Natarajan,India
Tabraiz Shamsi,South Africa
Tajinder Singh,India
Tamim Iqbal,Bangladesh
Tanmay Agarwal,India
Tanmay Mishra,Kenya
Tanmay Srivastava,India
Taruwar Kohli,India
Tatenda Taibu,Zimbabwe
Tejas Baroka,India
Tejashwi Yadav,India
Tekkami Atchuta Rao,India
Thalaivan Sargunam,India
Thilan Thushara,Sri Lanka
Thisara Perera,Sri Lanka
Tillakaratne Dilshan,Sri Lanka
Tim Paine,Australia
Tim Southee,New Zealand
Tinu Yohannan,India
Tirumalasetti Suman,India
Tom Banton,England
Tom Curran,England
TP Sudhindra,India
Travis Birt,Australia
Travis Head,Australia
Trent Boult,New Zealand
Tushar Deshpande,India
Tymal Mills,England
Tyron Henderson,South Africa
Uday Kaul,India
Udit Birla,India
Udit Patel,India
Umang Sharma,India
Umar Gul,Pakistan
Umesh Yadav,India
Unmukt Chand,India
Usman Khawaja,Australia
V. R. V. Singh,India
V.V.S. Laxman,India
Vaibhav Rawal,India
Varun Aaron,India
Varun Chakravarthy,India
Veer Pratap Singh,India
Vidyut Sivaramakrishnan,India
Vijay Shankar,India
Vijay Zol,India
Vikas Mishra,India
Vikas Tokas,India
Vikramjeet Malik,India
Vikrant Yeligati,India
Vinay Kumar,India
Viraj Kadbe,India
Virat Kohli,India
Virat Singh,India
Virender Sehwag,India
Vishnu Vinod,India
Vivek Yadav,India
Washington Sundar,India
Wasim Jaffer,India
Wayne Parnell,South Africa
Wilkin Mota,India
Wriddhiman Saha,India
Yalaka Venugopal Rao,India
Yashasvi Jaiswal,India
Yashpal Singh,India
Yo Mahesh,India
Yogesh Golwalkar,India
Yogesh Nagar,India
Yogesh Takawale,India
Younis Khan,Pakistan
Yusuf Abdulla,South Africa
Yusuf Pathan,India
Yuvraj Singh,India
Yuzvendra Chahal,India
Zafir Patel,India
Zaheer Khan,India
Zahir Khan,Afghanistan
